#multi:
;A;;T;;E;;M;;C;;5Mt;;
t;x;y;x;y;x;y;x;y;x;y;x;y;
2,601;0,621;2,006;0,629;1,231;0,694;0,627;0,254;0,349;0,200;0,376;0,262;0,172
2,618;0,615;2,012;0,627;1,240;0,722;0,638;0,299;0,333;0,224;0,357;0,328;0,161
2,634;0,609;2,016;0,626;1,247;0,749;0,649;0,349;0,312;0,274;0,334;0,395;0,148
2,651;0,603;2,018;0,625;1,255;0,771;0,660;0,402;0,288;0,329;0,296;0,468;0,134
2,668;0,598;2,019;0,625;1,260;0,790;0,669;0,456;0,262;0,398;0,260;0,544;0,121
2,684;0,591;2,019;0,625;1,264;0,807;0,677;0,518;0,235;0,464;0,224;0,621;0,106
2,701;0,586;2,018;0,625;1,266;0,822;0,682;0,580;0,208;0,526;0,187;0,695;9,357E-2
2,718;0,582;2,015;0,626;1,266;0,838;0,686;0,647;0,183;0,598;0,155;0,775;8,641E-2
2,734;0,581;2,011;0,627;1,263;0,848;0,688;0,720;0,163;0,666;0,130;0,857;8,455E-2
2,751;0,578;2,005;0,627;1,259;0,856;0,686;0,790;0,147;0,751;0,114;0,940;8,827E-2
2,768;0,576;1,999;0,626;1,252;0,862;0,683;0,858;0,139;0,830;8,996E-2;1,015;9,811E-2
2,784;0,573;1,992;0,627;1,244;0,867;0,679;0,927;0,137;0,905;7,273E-2;1,088;0,115
2,801;0,571;1,985;0,627;1,236;0,870;0,675;0,985;0,141;0,956;7,107E-2;1,147;0,135
2,818;0,570;1,978;0,629;1,228;0,874;0,670;1,031;0,147;1,002;7,618E-2;1,195;0,154
2,834;0,567;1,971;0,631;1,221;0,877;0,666;1,063;0,153;1,035;7,255E-2;1,226;0,167
2,851;0,564;1,966;0,633;1,216;0,879;0,665;1,080;0,156;1,050;7,413E-2;1,241;0,170
2,868;0,562;1,960;0,636;1,213;0,883;0,663;1,080;0,152;1,050;7,413E-2;1,239;0,165
2,884;0,560;1,958;0,640;1,211;0,887;0,660;1,065;0,143;1,032;7,216E-2;1,225;0,150
2,901;0,562;1,956;0,646;1,210;0,891;0,657;1,041;0,129;1,004;6,184E-2;1,201;0,131
2,918;0,561;1,956;0,655;1,210;0,892;0,652;1,016;0,124;0,978;6,267E-2;1,178;0,109
2,934;0,562;1,955;0,664;1,215;0,890;0,653;0,996;0,125;0,942;6,591E-2;1,152;9,587E-2
2,951;0,561;1,957;0,669;1,228;0,889;0,663;0,962;0,124;0,912;7,710E-2;1,120;8,423E-2
2,968;0,561;1,963;0,670;1,241;0,887;0,666;0,931;0,123;0,872;7,277E-2;1,087;7,360E-2
2,985;0,560;1,969;0,671;1,251;0,878;0,666;0,898;0,121;0,836;7,242E-2;1,054;6,415E-2
3,001;0,561;1,974;0,669;1,257;0,863;0,664;0,863;0,119;0,799;7,566E-2;1,018;5,933E-2
3,018;0,564;1,980;0,667;1,260;0,844;0,662;0,827;0,119;0,770;7,610E-2;0,983;5,931E-2
3,035;0,567;1,987;0,663;1,262;0,821;0,660;0,791;0,120;0,723;7,457E-2;0,947;5,885E-2
3,051;0,570;1,993;0,660;1,267;0,799;0,660;0,756;0,121;0,701;7,579E-2;0,910;5,843E-2
3,068;0,574;2,000;0,659;1,272;0,774;0,658;0,721;0,121;0,665;7,186E-2;0,873;5,966E-2
3,085;0,577;2,007;0,656;1,275;0,749;0,655;0,685;0,121;0,618;7,750E-2;0,837;5,953E-2
3,101;0,580;2,012;0,652;1,275;0,722;0,655;0,650;0,121;0,585;7,754E-2;0,800;5,902E-2
3,118;0,583;2,017;0,648;1,274;0,693;0,653;0,614;0,123;0,537;7,960E-2;0,764;5,878E-2
3,135;0,585;2,021;0,643;1,272;0,665;0,652;0,580;0,124;0,521;6,687E-2;0,727;6,052E-2
3,151;0,587;2,023;0,639;1,270;0,638;0,650;0,544;0,125;0,461;7,851E-2;0,693;6,045E-2
